,Path,File_Name,Title,Year,Rating,Resolution,Aspect_Ratio,Detailed_Aspect_Ratio,File Size,Run_Time(Minutes)
104,//nubian/archives/movies/movies/Action & Adventure/Ocean's Thirteen [CF].m4v,Ocean's Thirteen [CF].m4v,Ocean's Thirteen,,CF,700x400,1.75,720.0x362.0,846,118.36102055555556
105,//nubian/archives/movies/movies/Action & Adventure/Gran Turismo (2023) [PG-13].m4v,Gran Turismo (2023) [PG-13].m4v,Gran Turismo,2023,PG-13,1900x1000,1.9,1920.0x1012.0,3389,134.27441777777778
106,//nubian/archives/movies/movies/Action & Adventure/Tremors [PG-13].m4v,Tremors [PG-13].m4v,Tremors,,PG-13,700x300,2.3333333333333335,720.0x344.0,798,95.8129025925926
107,//nubian/archives/movies/movies/Action & Adventure/We Were Soldiers (2002) [Edited].m4v,We Were Soldiers (2002) [Edited].m4v,We Were Soldiers,2002,Edited,1900x800,2.375,1920.0x812.0,5828,138.16666666666666
108,//nubian/archives/movies/movies/Action & Adventure/District 9 (2009) [Edited].m4v,District 9 (2009) [Edited].m4v,District 9,2009,Edited,1900x1000,1.9,1920.0x1038.0,4039,110.45833333333333
109,//nubian/archives/movies/movies/Action & Adventure/Doctor Strange In The Multiverse Of Madness (2022) [PG-13].m4v,Doctor Strange In The Multiverse Of Madness (2022) [PG-13].m4v,Doctor Strange In The Multiverse Of Madness,2022,PG-13,1900x800,2.375,1920.0x804.0,3754,126.52014351851852
110,//nubian/archives/movies/movies/Action & Adventure/No Time To Die (2021) [PG-13].m4v,No Time To Die (2021) [PG-13].m4v,No Time To Die,2021,PG-13,1900x800,2.375,1920.0x804.0,4326,163.41324962962963
111,//nubian/archives/movies/movies/Action & Adventure/First Blood (1982) [Edited].m4v,First Blood (1982) [Edited].m4v,First Blood,1982,Edited,1900x800,2.375,1920.0x816.0,2300,92.53611111111111
112,//nubian/archives/movies/movies/Action & Adventure/Assassins (1995) [R].m4v,Assassins (1995) [R].m4v,Assassins,1995,R,700x500,1.4,706.0x480.0,1427,132.74984685185186
113,"//nubian/archives/movies/movies/Action & Adventure/Recruit, The (2003) [PG-13].avi","Recruit, The (2003) [PG-13].avi","Recruit, The",2003,PG-13,600x400,1.5,624.0x352.0,897,115.03227847222222
114,//nubian/archives/movies/movies/Action & Adventure/Ultraviolet [PG-13].m4v,Ultraviolet [PG-13].m4v,Ultraviolet,,PG-13,600x400,1.5,640.0x368.0,1092,94.47326777777779
115,//nubian/archives/movies/movies/Action & Adventure/Die Hard 4 (2007) [CF].m4v,Die Hard 4 (2007) [CF].m4v,Die Hard 4,2007,CF,700x400,1.75,718.0x360.0,860,124.02779277777778
116,//nubian/archives/movies/movies/Action & Adventure/Brick Mansions (2014) [PG-13].m4v,Brick Mansions (2014) [PG-13].m4v,Brick Mansions,2014,PG-13,700x400,1.75,720.0x364.0,655,90.30730018518516
117,"//nubian/archives/movies/movies/Action & Adventure/Three Musketeers, The [PG].m4v","Three Musketeers, The [PG].m4v","Three Musketeers, The",,PG,500x200,2.5,480.0x208.0,486,104.93544548611116
